"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","B365H","B365D","B365A","GBH","GBD","GBA","IWH","IWD","IWA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","GBAHH","GBAHA","GBAH","X","X.1","X.2","X.3","X.4","X.5"
"35","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","SP2","20/09/03","Algeciras","Almeria",0,0,"D",0,0,"D",NA,NA,NA,2.4,2.75,3,2.3,2.6,2.8,2.37,2.7,3,2.3,2.65,3.1,NA,NA,1.77,1.95,0,NA,NA,NA,NA,NA,NA
"37","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","SP2","20/09/03","Salamanca","Eibar",1,2,"A",0,2,"A",1.9,2.87,4,1.95,2.85,4,1.9,2.7,3.5,1.9,2.87,4,2,2.7,3.75,NA,NA,1.9,1.81,-0.5,NA,NA,NA,NA,NA,NA
"39","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","SP2","20/09/03","Terrassa","Vallecano",1,2,"A",0,1,"A",2.62,2.75,2.62,2.65,2.75,2.7,2.7,2.6,2.4,2.6,2.7,2.7,2.45,2.65,2.85,NA,NA,1.85,1.85,0,NA,NA,NA,NA,NA,NA
"41","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","SP2","21/09/03","Alaves","Malaga B",1,0,"H",0,0,"D",1.61,3,6,1.55,3.2,5.85,1.6,3,4.6,1.61,3.25,5,1.65,2.9,5.3,NA,NA,1.95,1.77,-1,NA,NA,NA,NA,NA,NA
"43","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","SP2","21/09/03","Cordoba","Tenerife",1,1,"D",1,1,"D",2.5,2.75,2.75,2.55,2.75,2.75,2.4,2.6,2.7,2.5,2.6,2.9,2.4,2.65,2.9,NA,NA,1.85,1.85,0,NA,NA,NA,NA,NA,NA
"45","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","SP2","21/09/03","Getafe","Cadiz",3,2,"H",1,1,"D",2.25,2.75,3.2,2.35,2.75,3.1,2.2,2.6,3,2.3,2.7,3.1,2.3,2.65,3.1,NA,NA,1.75,1.98,0,NA,NA,NA,NA,NA,NA
"47","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","SP2","21/09/03","Las Palmas","Ciudad de Murcia",2,3,"A",1,3,"A",1.9,2.87,4,1.85,2.8,4.5,1.8,2.8,3.7,1.9,2.87,4,2.05,2.65,3.7,NA,NA,1.82,1.88,-0.5,NA,NA,NA,NA,NA,NA
"49","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","SP2","21/09/03","Levante","Numancia",4,0,"H",1,0,"H",1.9,2.87,4,1.9,2.95,3.95,1.9,2.7,3.5,1.9,2.87,4,2,2.7,3.75,NA,NA,1.9,1.81,-0.5,NA,NA,NA,NA,NA,NA
"51","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","SP2","21/09/03","Poli Ejido","Elche",1,2,"A",0,1,"A",2.2,2.75,3.25,2.15,2.8,3.4,2.3,2.6,2.8,2.2,2.7,3.3,2.2,2.65,3.3,NA,NA,1.9,1.8,-0.25,NA,NA,NA,NA,NA,NA
"53","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","SP2","21/09/03","Recreativo","Sp Gijon",1,1,"D",1,0,"H",1.83,3,4,1.75,3.15,4.4,1.8,2.8,3.7,1.8,2.87,4.5,1.8,2.85,4.3,NA,NA,1.8,1.91,-0.5,NA,NA,NA,NA,NA,NA
"55","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","SP2","21/09/03","Xerez","Leganes",1,1,"D",0,0,"D",2.1,2.75,3.5,2.1,2.8,3.55,2,2.4,3.8,2.1,2.62,3.75,2.25,2.4,3.65,NA,NA,1.9,1.8,-0.25,NA,NA,NA,NA,NA,NA
"57","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","SP2","27/09/03","Almeria","Recreativo",2,2,"D",1,1,"D",2.3,2.7,3.1,2.35,2.65,3,2.3,2.7,2.7,2.25,2.7,3.25,2.2,2.7,3.2,2.2,1.51,1.77,2,0,NA,NA,NA,NA,NA,NA
"59","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
