"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","SYH","SYD","SYA","WHH","WHD","WHA"
"52","I1","14/10/01","Parma","Piacenza",2,2,"D",1,0,"H",NA,NA,NA,1.55,3.4,5,1.5,3.4,6,NA,NA,NA,1.53,3.25,6,1.5,3.25,6.5
"53","I1","14/10/01","Udinese","Inter",1,1,"D",0,0,"D",NA,NA,NA,3.3,2.8,2.1,3.2,3,2.1,NA,NA,NA,3.4,3,2,3.75,2.8,2
"54","I1","14/10/01","Verona","Bologna",0,1,"A",0,1,"A",NA,NA,NA,2.1,2.8,3.3,2.25,2.87,3,NA,NA,NA,2.25,2.88,3,2.2,2.8,3.2
"55","I1","20/10/01","Bologna","Juventus",0,0,"D",0,0,"D",3.05,3,2.2,3.2,2.9,2.1,NA,NA,NA,NA,NA,NA,3,3,2.2,3.1,2.8,2.25
"56","I1","21/10/01","Atalanta","Udinese",1,5,"A",0,1,"A",1.95,3,3.7,2.1,2.9,3.2,2.1,2.8,3.4,NA,NA,NA,1.91,3,3.75,2,2.9,3.6
"57","I1","21/10/01","Chievo","Parma",1,0,"H",1,0,"H",2.45,2.85,2.8,2.5,2.8,2.7,2.25,3,2.87,NA,NA,NA,2.38,2.88,2.8,2.4,2.8,2.87
"58","I1","21/10/01","Fiorentina","Verona",0,2,"A",0,1,"A",1.75,3.2,4.3,1.75,3.2,4,1.61,3.25,5,NA,NA,NA,1.73,3.2,4.33,1.72,3.1,4.5
"59","I1","21/10/01","Inter","Milan",2,4,"A",1,0,"H",NA,NA,NA,2.3,2.8,2.9,2.5,2.87,2.62,NA,NA,NA,2.5,2.88,2.62,2.5,2.8,2.7
"60","I1","21/10/01","Piacenza","Brescia",0,1,"A",0,1,"A",2.1,2.9,3.4,2.2,2.8,3.1,2.2,2.75,3.25,NA,NA,NA,2.1,3,3.2,2.1,2.8,3.4
"61","I1","21/10/01","Roma","Lecce",5,1,"H",2,0,"H",1.32,4.1,8,1.35,4,7,1.3,4.33,8,NA,NA,NA,1.3,4.33,8,1.33,4,8
"62","I1","21/10/01","Torino","Perugia",1,0,"H",1,0,"H",2.1,2.9,3.4,2,2.9,3.4,2,3,3.4,NA,NA,NA,2,2.88,3.6,2.1,2.8,3.4
"63","I1","21/10/01","Venezia","Lazio",0,0,"D",0,0,"D",3.4,3,2.05,3.6,3,1.9,4,3,1.83,NA,NA,NA,3.2,3,2.1,3.6,2.9,2
"64","I1","27/10/01","Juventus","Inter",0,0,"D",0,0,"D",2,3.05,3.45,2,2.9,3.4,NA,NA,NA,2,3.1,3.3,1.91,3,3.75,1.9,3.1,3.6
