"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","SYH","SYD","SYA","WHH","WHD","WHA"
"22","SP1","15/09/01","La Coruna","Ath Bilbao",1,2,"A",0,1,"A",NA,NA,NA,1.45,3.5,5,1.3,4,9,1.36,3.75,8,1.4,3.75,7,1.36,3.75,8
"23","SP1","15/09/01","Mallorca","Alaves",0,0,"D",0,0,"D",NA,NA,NA,1.85,2.9,3.4,1.8,3.2,4,1.73,3.2,4.33,1.67,3.25,4.5,1.72,3.2,4.33
"24","SP1","15/09/01","Osasuna","Barcelona",0,0,"D",0,0,"D",NA,NA,NA,3.6,3.1,1.75,4.5,3.25,1.67,4,3.4,1.73,3.75,3.25,1.8,NA,NA,NA
"25","SP1","16/09/01","Espanol","Sevilla",2,3,"A",1,1,"D",NA,NA,NA,1.75,3.1,3.6,1.73,3.2,4.33,1.67,3.25,4.6,1.67,3.25,4.5,1.61,3.3,5
"26","SP1","16/09/01","Malaga","Valladolid",1,2,"A",0,1,"A",NA,NA,NA,1.7,3.1,3.8,1.57,3.25,5.5,1.62,3.3,5,1.67,3.25,4.5,1.61,3.3,5
"27","SP1","16/09/01","Sociedad","Celta",0,0,"D",0,0,"D",NA,NA,NA,2.4,2.9,2.4,2.75,3.2,2.25,3,3.2,2.1,2.8,3.2,2.2,2.7,3.1,2.3
"28","SP1","16/09/01","Vallecano","Zaragoza",1,2,"A",1,0,"H",NA,NA,NA,2.1,2.9,2.9,2,3.2,3.2,2,3.1,3.3,2.1,3,3.2,1.9,3.2,3.5
"29","SP1","16/09/01","Tenerife","Villarreal",2,0,"H",1,0,"H",NA,NA,NA,2.3,2.9,2.5,2.75,3.2,2.25,2.62,3.1,2.38,2.38,3.1,2.62,2.5,3.1,2.5
"30","SP1","16/09/01","Valencia","Las Palmas",1,0,"H",0,0,"D",NA,NA,NA,1.4,3.6,5.5,1.33,4,8,1.33,4,8,1.36,4,7,1.5,2.87,9
"31","SP1","22/09/01","Alaves","La Coruna",2,3,"A",0,1,"A",NA,NA,NA,2.2,2.9,2.7,2.5,3.2,2.5,2.3,3.1,2.7,2.5,3.1,2.5,2.37,3.1,2.62
"32","SP1","22/09/01","Barcelona","Tenerife",2,0,"H",1,0,"H",NA,NA,NA,1.25,4.3,8,1.33,4,8,1.3,4.33,8,1.29,4.5,8,1.25,4.5,10
"33","SP1","22/09/01","Las Palmas","Malaga",0,0,"D",0,0,"D",NA,NA,NA,2.1,2.9,2.9,2.2,3,3,2.2,3,3,2.2,3,3,2.1,3.1,3.1
"34","SP1","22/09/01","Real Madrid","Espanol",5,1,"H",3,0,"H",NA,NA,NA,1.3,4,7,1.33,3.75,9,1.33,4,8,1.33,4.33,7.5,1.3,4.2,8.5
"35","SP1","22/09/01","Villarreal","Sociedad",1,0,"H",0,0,"D",NA,NA,NA,1.7,3.1,3.8,1.67,3.25,4.5,1.67,3.3,4.6,1.73,3.2,4.33,1.61,3.3,5
"36","SP1","23/09/01","Ath Bilbao","Valencia",2,2,"D",0,1,"A",NA,NA,NA,2.2,2.9,2.7,2.5,2.87,2.62,2.5,3,2.6,2.5,3.1,2.5,2.3,3,2.8
"37","SP1","23/09/01","Celta","Mallorca",2,0,"H",1,0,"H",NA,NA,NA,1.75,3.1,3.6,1.73,3.2,4.33,1.83,3.1,4,1.8,3.25,4,1.66,3.3,4.5
"38","SP1","23/09/01","Sevilla","Vallecano",2,1,"H",0,1,"A",NA,NA,NA,1.9,2.8,3.3,2,3.2,3.2,2,3.2,3.25,2.1,3,3.2,1.9,3.2,3.5
"39","SP1","23/09/01","Valladolid","Betis",0,2,"A",0,0,"D",NA,NA,NA,2.1,2.8,3,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3,3,2.1,3.1,3.1
"40","SP1","23/09/01","Zaragoza","Osasuna",0,1,"A",0,1,"A",NA,NA,NA,1.55,3.3,4.5,1.61,3.25,5,1.62,3.4,5,1.67,3.4,4.33,NA,NA,NA
"41","SP1","29/09/01","Espanol","Vallecano",3,1,"H",1,0,"H",NA,NA,NA,1.8,3,3.5,1.8,3.2,4,1.85,3.2,3.7,1.8,3.25,3.75,1.72,3.2,4.33
"42","SP1","29/09/01","Malaga","Ath Bilbao",1,2,"A",0,1,"A",NA,NA,NA,2.1,2.9,2.9,2.1,3.2,3,2.1,3.1,3.1,2,3.2,3.2,2.1,3.2,3
"43","SP1","29/09/01","Real Madrid","Valladolid",2,2,"D",2,1,"H",NA,NA,NA,1.25,4.3,8,1.25,4.5,10,1.22,5,9,1.22,5,9,1.22,5,9.5
"44","SP1","29/09/01","Sociedad","Barcelona",0,2,"A",0,1,"A",NA,NA,NA,3.1,3,1.9,3.75,3.25,1.8,3.75,3.1,1.91,3.75,3.2,1.83,3.5,3.2,1.9
"45","SP1","30/09/01","Betis","Las Palmas",1,0,"H",0,0,"D",NA,NA,NA,1.65,3.1,4,1.73,3.2,4.33,1.62,3.3,5,1.73,3.2,4.33,1.61,3.1,5.5
"46","SP1","30/09/01","La Coruna","Celta",2,2,"D",0,1,"A",NA,NA,NA,1.7,3,4,1.8,3.2,4,1.85,3.2,3.75,1.8,3.2,4,1.72,3.1,4.5
"47","SP1","30/09/01","Mallorca","Villarreal",0,1,"A",0,1,"A",NA,NA,NA,1.7,3,4,1.91,3.2,3.5,1.85,3.2,3.8,1.8,3.25,3.75,1.83,3.2,3.75
"48","SP1","30/09/01","Osasuna","Sevilla",1,0,"H",0,0,"D",NA,NA,NA,2.2,2.8,2.8,2.25,3.2,2.75,2.2,3,3,2.1,3.1,3.1,NA,NA,NA
"49","SP1","30/09/01","Tenerife","Zaragoza",0,0,"D",0,0,"D",NA,NA,NA,2,2.8,3.1,2.1,3.2,3,2.1,3.1,3.1,2.2,3.1,2.88,2.1,3.2,3
"50","SP1","30/09/01","Valencia","Alaves",0,0,"D",0,0,"D",NA,NA,NA,1.55,3.3,4.5,1.53,3.4,5.5,1.57,3.3,5.5,1.53,3.4,5.5,1.53,3.4,5.5
"51","SP1","03/10/01","Alaves","Malaga",1,0,"H",0,0,"D",NA,NA,NA,1.75,3.1,3.6,1.8,3.2,4,1.73,3.25,4.33,NA,NA,NA,1.66,3.3,4.5
"52","SP1","03/10/01","Ath Bilbao","Betis",0,0,"D",0,0,"D",NA,NA,NA,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,NA,NA,NA,1.9,3.2,3.5
"53","SP1","03/10/01","Barcelona","Mallorca",3,0,"H",3,0,"H",NA,NA,NA,1.45,3.5,5,1.33,4,8,1.4,3.8,7,NA,NA,NA,1.4,3.75,7
"54","SP1","03/10/01","Las Palmas","Real Madrid",4,2,"H",2,2,"D",NA,NA,NA,3.2,2.9,1.9,4,3,1.83,3.75,3.2,1.85,NA,NA,NA,3.75,3.2,1.83
"55","SP1","03/10/01","Vallecano","Osasuna",0,1,"A",0,1,"A",NA,NA,NA,1.8,2.9,3.6,2,3.2,3.2,1.95,3.2,3.4,NA,NA,NA,NA,NA,NA
"56","SP1","03/10/01","Sevilla","Tenerife",2,0,"H",1,0,"H",NA,NA,NA,1.65,3.1,4,1.8,3.2,4,1.75,3.2,4.33,NA,NA,NA,1.72,3.2,4.33
"57","SP1","03/10/01","Valladolid","Espanol",0,1,"A",0,1,"A",NA,NA,NA,2,2.9,3,2,3.2,3.2,2,3.2,3.25,NA,NA,NA,2,3.2,3.2
"58","SP1","03/10/01","Villarreal","La Coruna",1,1,"D",1,0,"H",NA,NA,NA,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.1,2.5,NA,NA,NA,2.4,3.1,2.6
"59","SP1","03/10/01","Zaragoza","Sociedad",3,2,"H",1,1,"D",NA,NA,NA,1.85,2.9,3.4,1.61,3.25,5,1.62,3.25,5,NA,NA,NA,1.72,3.2,4.33
"60","SP1","04/10/01","Celta","Valencia",1,1,"D",0,1,"A",NA,NA,NA,1.9,2.9,3.2,2.1,3,3.2,1.91,3.2,3.5,NA,NA,NA,2,3.2,3.2
"61","SP1","06/10/01","La Coruna","Barcelona",2,1,"H",0,1,"A",NA,NA,NA,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.2,2.75,2.2,3.2,2.8,2.25,3.1,2.8
"62","SP1","06/10/01","Real Madrid","Ath Bilbao",2,0,"H",0,0,"D",NA,NA,NA,1.6,3.3,4,1.5,3.4,6,1.4,3.75,7,1.44,3.75,6,1.44,3.6,6.5
"63","SP1","07/10/01","Betis","Alaves",1,0,"H",0,0,"D",NA,NA,NA,2,2.9,3,2,3.2,3.2,1.91,3.2,3.5,2,3.2,3.2,1.83,3.3,3.6
"64","SP1","07/10/01","Espanol","Osasuna",1,1,"D",0,0,"D",NA,NA,NA,1.7,3.1,3.8,1.83,3.2,3.75,1.75,3.2,4.2,1.67,3.4,4.33,NA,NA,NA
"65","SP1","07/10/01","Malaga","Celta",2,2,"D",2,0,"H",NA,NA,NA,2.4,2.9,2.4,2.75,3.2,2.25,2.62,3.1,2.38,2.6,3.2,2.38,2.6,3.1,2.4
"66","SP1","07/10/01","Mallorca","Zaragoza",0,1,"A",0,0,"D",NA,NA,NA,1.7,3.1,3.8,1.8,3.25,3.75,1.85,3.2,3.75,1.83,3.2,3.75,1.72,3.25,4.2
"67","SP1","07/10/01","Sociedad","Sevilla",3,3,"D",2,0,"H",NA,NA,NA,2.1,2.8,3,2.37,3.2,2.6,2.2,3.1,2.9,2.1,3.2,3,2.2,3.2,2.8
"68","SP1","07/10/01","Tenerife","Vallecano",3,1,"H",1,1,"D",NA,NA,NA,2,2.7,3.2,1.8,3.25,3.75,1.91,3.25,3.5,1.91,3.25,3.4,1.9,3.25,3.4
"69","SP1","07/10/01","Valencia","Villarreal",1,0,"H",1,0,"H",NA,NA,NA,1.6,3.2,4.2,1.73,3.2,4.33,1.8,3.1,4.25,1.62,3.5,4.5,1.8,3.1,4
"70","SP1","07/10/01","Valladolid","Las Palmas",1,0,"H",1,0,"H",NA,NA,NA,1.9,2.8,3.3,2,3.2,3.2,1.95,3.2,3.4,2,3.2,3.2,1.9,3.2,3.5
"71","SP1","13/10/01","Alaves","Real Madrid",0,0,"D",0,0,"D",NA,NA,NA,2.9,2.9,2.1,2.8,3.2,2.2,NA,NA,NA,2.8,3.2,2.2,3,3.2,2.1
"72","SP1","13/10/01","Sevilla","Mallorca",2,2,"D",2,2,"D",NA,NA,NA,2.1,2.9,3.2,1.91,3.2,3.5,NA,NA,NA,2,3.2,3.2,1.9,3.2,3.5
"73","SP1","13/10/01","Zaragoza","La Coruna",1,2,"A",0,1,"A",NA,NA,NA,2.5,3,2.5,2.8,3.2,2.2,NA,NA,NA,2.6,3.2,2.38,2.62,3.1,2.37
"74","SP1","14/10/01","Ath Bilbao","Valladolid",1,4,"A",0,2,"A",NA,NA,NA,1.6,3.4,4.6,1.73,3.2,4.33,NA,NA,NA,1.73,3.2,4.33,1.66,3.3,4.5
"75","SP1","14/10/01","Barcelona","Valencia",2,2,"D",1,1,"D",NA,NA,NA,1.65,3.3,4.4,1.73,3.4,4,NA,NA,NA,1.73,3.2,4.33,1.66,3.3,4.5
"76","SP1","14/10/01","Celta","Betis",3,1,"H",2,0,"H",NA,NA,NA,1.7,3.2,4.2,1.67,3.25,4.5,NA,NA,NA,1.73,3.2,4.33,1.66,3.3,4.5
"77","SP1","14/10/01","Las Palmas","Espanol",2,0,"H",0,0,"D",NA,NA,NA,2,2.9,3.4,2,3.2,3.2,NA,NA,NA,2.1,3,3.2,2.1,3.2,3
"78","SP1","14/10/01","Osasuna","Tenerife",0,2,"A",0,0,"D",NA,NA,NA,1.8,3.1,3.8,1.83,3.2,3.75,NA,NA,NA,1.83,3.2,3.75,NA,NA,NA
"79","SP1","14/10/01","Vallecano","Sociedad",2,1,"H",1,1,"D",NA,NA,NA,2.2,2.9,3,2.1,3.2,3,NA,NA,NA,2,3.2,3.2,2,3.3,3.1
"80","SP1","14/10/01","Villarreal","Malaga",1,2,"A",1,1,"D",NA,NA,NA,1.7,3.2,4.2,1.67,3.25,4.5,NA,NA,NA,1.73,3.2,4.33,1.61,3.3,5
"81","SP1","20/10/01","Betis","Villarreal",1,1,"D",0,1,"A",1.8,3.25,4,1.8,3.1,3.8,1.83,3.2,3.75,NA,NA,NA,1.8,3.25,3.75,1.83,3.2,3.75
"82","SP1","20/10/01","La Coruna","Sevilla",1,0,"H",1,0,"H",1.38,3.85,7.6,1.35,4,7,1.4,3.75,7,NA,NA,NA,1.4,3.75,7,1.33,4,8
"83","SP1","20/10/01","Las Palmas","Ath Bilbao",1,1,"D",0,1,"A",2.05,3.1,3.25,2.1,2.9,3.2,2,3.2,3.2,NA,NA,NA,2,3.2,3.2,2,3.1,3.3
"84","SP1","20/10/01","Malaga","Barcelona",1,1,"D",0,0,"D",3.4,3.1,2,3.2,2.9,2.1,3,3.2,2.1,NA,NA,NA,3,3.2,2.1,3.1,3.1,2.1
"85","SP1","20/10/01","Sociedad","Osasuna",2,1,"H",0,1,"A",1.87,3.25,3.5,2,2.9,3.4,1.83,3.4,3.5,NA,NA,NA,1.91,3.2,3.5,NA,NA,NA
"86","SP1","21/10/01","Espanol","Tenerife",2,0,"H",2,0,"H",1.8,3.25,4,1.8,3.1,3.8,1.83,3.2,3.75,NA,NA,NA,1.73,3.2,4.33,1.8,3.3,3.75
"87","SP1","21/10/01","Mallorca","Vallecano",3,0,"H",1,0,"H",1.7,3.35,4.35,1.65,3.3,4.4,1.61,3.25,5,NA,NA,NA,1.67,3.25,4.5,1.66,3.3,4.5
"88","SP1","21/10/01","Real Madrid","Celta",1,1,"D",1,1,"D",1.6,3.35,5.1,1.6,3.4,4.6,1.61,3.25,5,NA,NA,NA,1.62,3.25,5,1.61,3.3,5
"89","SP1","21/10/01","Valencia","Zaragoza",2,0,"H",1,0,"H",1.47,3.8,5.75,1.45,3.8,5.4,1.44,3.6,6.5,NA,NA,NA,1.44,3.6,6.5,1.44,3.5,7
"90","SP1","21/10/01","Valladolid","Alaves",1,3,"A",0,2,"A",2.3,3.05,2.85,2.1,2.9,3.2,2.1,3.2,3,NA,NA,NA,2.25,3.2,2.75,2.25,3.2,2.75
"91","SP1","27/10/01","Barcelona","Betis",3,0,"H",1,0,"H",1.5,3.6,6,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.5,6,1.44,3.6,6.5,1.53,3.4,5.5
"92","SP1","27/10/01","Osasuna","Mallorca",4,0,"H",2,0,"H",2.25,3.1,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.2,3.25,2.75,NA,NA,NA
"93","SP1","27/10/01","Vallecano","La Coruna",2,1,"H",0,0,"D",3.6,3.25,1.9,3.5,3.1,1.9,4.33,3.2,1.73,3.9,3.2,1.8,3.5,3.2,1.91,3.6,3.3,1.83
"94","SP1","27/10/01","Tenerife","Sociedad",0,1,"A",0,1,"A",1.9,3.2,3.6,1.9,3,3.6,1.73,3.2,4.33,1.91,3.2,3.5,1.91,3.2,3.5,1.9,3.25,3.5
"95","SP1","27/10/01","Villarreal","Real Madrid",2,3,"A",1,0,"H",2.9,3.2,2.2,3,2.9,2.2,2.75,3.2,2.25,2.75,3.2,2.25,2.75,3.2,2.25,2.8,3.2,2.2
"96","SP1","28/10/01","Alaves","Las Palmas",1,0,"H",1,0,"H",1.65,3.3,4.6,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.4,4.33,1.67,3.4,4.33,1.66,3.3,4.5
"97","SP1","28/10/01","Ath Bilbao","Espanol",1,1,"D",1,0,"H",1.9,3.2,3.5,1.75,3.2,4,1.91,3.2,3.5,1.91,3.25,3.5,1.91,3.2,3.5,1.72,3.5,3.8
"98","SP1","28/10/01","Celta","Valladolid",1,1,"D",0,0,"D",1.41,3.7,7,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7
"99","SP1","28/10/01","Sevilla","Valencia",1,1,"D",0,1,"A",2.75,3.1,2.3,2.7,2.9,2.4,2.8,2.87,2.37,2.7,3.1,2.3,2.6,3,2.5,2.75,3.1,2.3
"100","SP1","28/10/01","Zaragoza","Malaga",0,2,"A",0,1,"A",1.9,3.2,3.6,2,3,3.3,1.8,3.2,4,1.91,3.25,3.4,1.91,3.2,3.5,1.9,3.25,3.4
"101","SP1","03/11/01","Ath Bilbao","Alaves",2,1,"H",2,0,"H",2.3,3,2.87,2.2,2.9,3,2.25,3.2,2.75,2.4,3,2.7,2.38,3,2.75,2.2,3.1,2.87
"102","SP1","04/11/01","Betis","Zaragoza",0,1,"A",0,0,"D",1.7,3.3,4.4,1.75,3.2,4,1.73,3.2,4.33,1.67,3.25,4.8,1.67,3.25,4.5,1.61,3.3,5
"103","SP1","04/11/01","La Coruna","Osasuna",5,1,"H",4,1,"H",1.33,4.25,7.7,1.35,4,7,1.3,4,9,1.33,4.2,8,1.3,4.33,8,NA,NA,NA
"104","SP1","04/11/01","Espanol","Sociedad",1,2,"A",1,1,"D",1.73,3.3,4.25,1.85,3.1,3.6,1.73,3.2,4.33,1.8,3.2,4,1.8,3.25,3.75,1.83,3.4,3.5
"105","SP1","04/11/01","Las Palmas","Celta",4,2,"H",3,1,"H",2.72,2.95,2.45,2.5,3,2.5,2.6,3.2,2.37,2.7,3.1,2.38,2.8,3,2.3,2.7,3,2.37
"106","SP1","04/11/01","Malaga","Sevilla",1,3,"A",1,1,"D",1.95,3.1,3.55,1.9,3,3.6,1.8,3.25,3.75,1.95,3.1,3.5,1.91,3.2,3.5,1.83,3.2,3.75
"107","SP1","04/11/01","Mallorca","Tenerife",2,0,"H",1,0,"H",1.77,3.2,4.2,1.75,3.2,4,1.73,3.2,4.33,1.73,3.2,4.33,1.8,3.25,3.75,1.72,3.2,4.33
"108","SP1","04/11/01","Real Madrid","Barcelona",2,0,"H",1,0,"H",2,3.15,3.35,1.9,3,3.6,2,3.2,3.2,2,3.2,3.3,2,3.2,3.2,2,3.1,3.3
"109","SP1","04/11/01","Valencia","Vallecano",2,1,"H",1,1,"D",1.3,4.5,8,1.35,4,7,1.25,4.5,10,1.3,4.33,8.5,1.3,4.33,8,1.28,4.5,8
"110","SP1","04/11/01","Valladolid","Villarreal",1,0,"H",1,0,"H",2.15,3.2,3,2,3,3.3,2.2,3.2,2.8,2.2,3.1,2.9,2.25,3.2,2.75,2.2,3.25,2.75
"111","SP1","10/11/01","Sevilla","Betis",0,0,"D",0,0,"D",2.3,3,2.9,2.1,3,3.1,2.2,3,3,2.2,3.1,2.9,2.25,3,2.88,2.2,3,3
"112","SP1","11/11/01","Alaves","Espanol",2,1,"H",1,1,"D",1.71,3.25,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.62,3.3,5,1.67,3.25,4.5,1.61,3.3,5
"113","SP1","11/11/01","Barcelona","Valladolid",4,0,"H",2,0,"H",1.25,4.5,8.5,1.35,4,7,1.33,4,8,1.33,4,8,1.29,4.5,8,1.33,4.2,7.5
"114","SP1","11/11/01","Celta","Ath Bilbao",2,3,"A",1,0,"H",1.66,3.3,4.75,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.3,5,1.67,3.4,4.33,1.66,3.3,4.5
"115","SP1","11/11/01","Osasuna","Valencia",0,0,"D",0,0,"D",2.8,3,2.35,3,2.9,2.2,3,2.87,2.25,2.8,3,2.3,2.88,2.8,2.38,NA,NA,NA
"116","SP1","11/11/01","Sociedad","Mallorca",1,2,"A",0,0,"D",2.05,3.1,3.3,2,2.9,3.4,2,3.2,3.2,2.1,3.2,3,2,3.2,3.2,2.1,3.1,3.1
"117","SP1","11/11/01","Vallecano","Malaga",3,0,"H",2,0,"H",2.25,3.1,2.9,2.2,2.9,3,2.25,3.2,2.75,2.25,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75
"118","SP1","11/11/01","Tenerife","La Coruna",3,1,"H",1,1,"D",3.45,3.15,1.95,3.3,3,2,3.2,3.2,2,3.4,3.25,1.91,3.2,3.2,2,3.2,3.2,2
"119","SP1","11/11/01","Villarreal","Las Palmas",2,0,"H",1,0,"H",1.75,3.2,4.3,1.8,3.1,3.8,1.8,3.2,4,1.73,3.25,4.2,1.8,3.2,4,1.8,3.3,3.75
"120","SP1","11/11/01","Zaragoza","Real Madrid",2,1,"H",1,0,"H",3.6,3.2,1.9,3.3,3,2,3.5,3.2,1.91,3.3,3.1,2,3.2,3.2,2,3.4,3.25,1.9
"121","SP1","17/11/01","La Coruna","Sociedad",3,1,"H",1,1,"D",1.31,4.25,8.5,1.35,4,7,1.36,3.75,8,1.33,4,8.5,1.3,4.33,8,1.3,4.5,7.5
"122","SP1","17/11/01","Las Palmas","Barcelona",0,0,"D",0,0,"D",3.3,3.2,2,3.2,2.9,2.1,3.2,3,2.1,3.3,3.1,2,3.2,3.2,2,2.8,3.1,2.25
"123","SP1","17/11/01","Real Madrid","Sevilla",2,1,"H",1,0,"H",1.3,4.5,8,1.4,3.7,6.4,1.33,4,8,1.3,4.33,8,1.3,4.33,8,1.33,4,8
"124","SP1","18/11/01","Alaves","Celta",1,0,"H",1,0,"H",2,3.2,3.3,2,2.9,3.4,2,3.2,3.2,2,3.1,3.3,2.1,3,3.2,2,3.1,3.3
"125","SP1","18/11/01","Ath Bilbao","Villarreal",0,0,"D",0,0,"D",2,3.2,3.3,1.8,3.1,3.8,1.91,3.2,3.5,2,3.1,3.3,1.91,3.2,3.5,1.9,3.2,3.5
"126","SP1","18/11/01","Betis","Vallecano",2,0,"H",0,0,"D",1.64,3.45,4.6,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.3,4.5,1.67,3.25,4.5,1.72,3.2,4.33
"127","SP1","18/11/01","Espanol","Mallorca",2,1,"H",1,1,"D",2.15,3.15,3,2.2,2.9,3,2.2,3.2,2.8,2.25,3.1,2.8,2.2,3.2,2.8,2.2,3.1,2.87
"128","SP1","18/11/01","Malaga","Osasuna",2,1,"H",2,0,"H",2,3.2,3.3,1.85,3.1,3.6,1.91,3.2,3.5,2,3.1,3.3,1.91,3.2,3.5,NA,NA,NA
"129","SP1","18/11/01","Valencia","Tenerife",0,0,"D",0,0,"D",1.3,4.25,8.5,1.3,4.2,8,1.36,3.75,8,1.3,4.33,8,1.29,4.5,8,1.3,4.33,8
"130","SP1","18/11/01","Valladolid","Zaragoza",2,0,"H",1,0,"H",2.2,3.1,2.95,2.1,2.9,3.2,2.2,3.2,2.8,2.15,3.2,2.9,2.25,3.1,2.8,2.1,3.1,3.1
"131","SP1","24/11/01","Barcelona","Ath Bilbao",1,2,"A",0,1,"A",1.43,3.75,6.4,1.4,3.9,6,1.44,3.6,6.5,1.44,3.75,6.5,1.44,3.6,6.5,1.44,3.6,6.5
"132","SP1","25/11/01","Celta","Espanol",4,1,"H",2,1,"H",1.7,3.3,4.45,1.6,3.4,4.6,1.73,3.2,4.33,1.73,3.25,4.33,1.73,3.2,4.33,1.72,3.25,4.2
"133","SP1","25/11/01","Mallorca","La Coruna",4,1,"H",2,1,"H",2.65,3.1,2.4,2.5,3,2.5,2.8,2.87,2.37,2.62,3.1,2.4,2.7,3.1,2.3,2.62,3.1,2.37
